Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,KNN_Quality,MLP_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba3Zr2S7,Ba2HoCl7,0.6588365836692197,0.702857,0.5249654797276867,0.6933275866190775,0.7146487461159889,88.20492327703737,1.082816997726819,5.4559,4.3731,17.526026148831015,-0.7176763406250006,-0.1261576456060918
Ba2Tl2O5,Ba3Tm(BO2)9,0.6578742021874424,0.70118624,0.5268758669413076,0.6943692159857697,0.7093310566670348,88.47078136423038,1.0156169977268188,5.2676,4.252,16.467591779378182,-1.1736809833811237,-0.0941204139228598
Ba4LaGe3SbSe13,Ba2DyCl7,0.6577769646989058,0.7009153,0.5157881315601963,0.7049362680597968,0.7126116413259018,87.46694482037574,1.4883785721190117,5.4194,3.931,17.203546975487537,-1.412624780440814,-0.2148562706690409
Ag2PHO4,B5H4NO8,0.6576834155960001,0.6958467,0.5117046273620622,0.7193265638670123,0.7117280454640755,86.98763611064237,1.5818709676048333,5.7298,4.1479,16.387360888277687,-0.5980527347263573,-0.0721087779358229
Ba3Ta2Se9,Ba2CaP4(H3O8)2,0.6573786053010412,0.6973423,0.5143948312476976,0.7000077754516624,0.7235427130896934,87.2490519866524,1.5010593186159011,5.4657,3.9646,17.10943891604252,-0.9854398239173576,0.1495232810371791
Ba3Zr6BeCl18,AcCl3,0.6572080300962113,0.69091684,0.5095222537832723,0.7287867249344464,0.7112461746617811,86.67311088642471,1.2822169977268187,5.0865,3.8043,15.469499303872531,-0.6537241006249999,0.0479194595589202
Au2Se3O10,B5H12NO12,0.6568414599807508,0.6785567,0.5206983392662022,0.7308446508933993,0.715015518837629,87.39573747810425,1.214816997726819,5.5022,4.2874,17.789162841996657,-0.9261251017256932,0.0643280309744834
Ba2MnSe3,Ba2CaP4(H3O8)2,0.6567089998112017,0.6997548,0.5158167961783134,0.7103325445835891,0.7038705888500523,87.54947388960909,1.322916997726819,5.4657,4.1428,17.581490207109955,-0.7892216057041472,0.1743265424350681
Ba2Tl2O5,Ba3Tb(BO2)9,0.656606757949314,0.70034313,0.5224622086431909,0.6979650922982313,0.7063904705121857,88.18266255299191,1.0156169977268188,5.1728,4.1572,15.94269133886722,-1.1663744247252086,-0.139228326758395
Ba2InCuO4,Ba3B6H2O13,0.6565272644536517,0.7013574,0.5106470672010914,0.7266345373459195,0.6903174584673994,86.96779921507112,1.3662169977268188,5.0891,3.7229,15.483711135885049,-0.6571995676041675,0.0126514276504875
Ba2Ni(PO4)2,Ba3Tm(BO2)9,0.6561782437007642,0.69659036,0.5208402343698585,0.7116543205976302,0.6991534530788619,87.99918453586429,1.1930169977268188,5.2676,4.0746,16.467591779378182,-0.2204753401169799,-0.0303833505129338
AgRh(SO4)2,Ba2DyCl7,0.6548808522872289,0.6908773,0.5194935761990387,0.7104974329823279,0.7055045659372186,87.89475415209718,1.4293169977268192,5.4194,3.9901,17.31921624773407,-1.4077187857777784,0.1067391794691862
Ba2InCuO4,AlPO4,0.6548503046550818,0.7017722,0.5072105930700022,0.7052895684566393,0.7068473854659394,86.9509751913861,1.3662169977268188,5.6178,4.2516,18.451546239574878,-0.901922882162698,-0.2448019569103396
Ba3Cr2O8,Ba3Tb(BO2)9,0.6542243934151462,0.6952651,0.509905390970063,0.7144003814263624,0.7026259117999942,87.13078746968465,1.4032169977268192,5.1728,3.7696,15.94269133886722,-0.5015253731368889,0.0756048387096774
Ba3Zr6BeCl18,AlPO4,0.6539585635231612,0.6992453,0.5154220451294934,0.6929905607901127,0.7088455155001909,87.72720327379795,1.2822169977268187,5.6178,4.3356,18.451546239574878,-0.8402474729960305,-0.1663437586493219
Ba(SmTe2)2,Ba(PO3)2,0.6535492235793998,0.6954721,0.5196706505940023,0.6975340127045292,0.7035476095845494,88.12881962980676,1.051116997726819,5.4349,4.3838,17.40684437120676,-1.1858106559523771,-0.1884210046078745
Ba3Zr2S7,Ba2P2O7,0.6530068527904185,0.6899717,0.5203163330401126,0.7088597567896429,0.6983286860990874,88.12837596551799,1.082816997726819,5.1483,4.0655,15.807777426493834,-1.0737078771509734,0.0476448161357766
Ba2MnSe3,Ba3Tm(BO2)9,0.6529876780578067,0.6940542,0.522342577980436,0.6871578188317833,0.7102575079782867,88.34504666349943,1.322916997726819,5.2676,3.9447,16.467591779378182,-1.3657999630170372,0.0643648439678556
Ba2GdMoO6,Al2Pb3F12,0.6529408098346506,0.69166887,0.5206132701416262,0.7106080869514291,0.6929088703324118,88.17255682475869,1.1637169977268191,5.2252,4.0615,16.232185176768496,-0.2050825616764715,-0.1063892650498584
AgHg2PO4,AlH10SO9F,0.652743020801866,0.69855255,0.5195178061296672,0.7068909947476683,0.6849598761490616,88.17374469712044,1.4446169977268193,5.459199999999999,4.0146,17.544680452886684,-0.218473610830626,0.0296916255666816
Ba2Zr6BCl17,AlPO4,0.6522435877526593,0.68862414,0.5206067613611891,0.7067643203688109,0.6986029451945097,88.20767704472695,1.3409169977268192,5.6178,4.2769,18.451546239574878,-0.8023384857203895,0.0610488905515678
Ba3Sb2Se7,Ba2DyCl7,0.6521756369825931,0.6948038,0.5272077794017919,0.6907866271520774,0.695175243285336,88.94689120631217,1.1737615750124288,5.4194,4.2456,17.31921624773407,-1.4250768693411453,0.0057471264367816
Ba3Sb2Se7,Ba2HoCl7,0.6517703913835683,0.68681145,0.5224402449543106,0.7089406406825453,0.6949410222446702,88.37321929126537,1.1737615750124288,5.4559,4.2821,17.526026148831015,-1.4217361496744798,0.0142219938815067
