Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba(TmSe2)2,AlPO4,0.5874198838810898,0.6421271,0.5053589902174416,76.16213250854223,1.634587481610209,5.6178,3.9832,14.642532044185302,-0.8976119305853127,0.073006627836915
AgHg2PO4,BHS3O11,0.5872659430157534,0.640588,0.5072828494636694,76.77349541608778,1.4446169977268193,5.696299999999999,4.2517,18.90549771873661,-0.2757919300185998,0.0368088058894089
Ba21(Cd2Sb9)2,Ba2CaP4(H3O8)2,0.5871343808311992,0.63560647,0.5144262057887447,78.92577059311262,0.986816997726819,5.4657,4.4789,17.581490207109955,-1.5060553746319727,-0.187970260555047
Ba4Li(BiO4)3,Ba2DyCl7,0.5871065866731279,0.638465,0.5100689112600368,77.6417437602174,0.8215169977268192,5.4194,4.5979,17.31921624773407,-0.674294066499999,-0.0857565410296005
Ba2V3HO9,Ba2HoCl7,0.5868287371400384,0.6372309,0.5112254586824246,78.05655975982037,0.9943169977268193,5.4559,4.4616,17.526026148831015,-0.1498507914166662,-0.1376636184328492
Ba2SiTe4,Ba3B6H2O13,0.5867152069406297,0.6416007,0.5043869103979534,76.05317665997656,1.3583169977268197,5.0891,3.7308,15.483711135885049,-1.5795641996279752,-0.1060362388763804
Ag2P2PdO7,Ba2HoCl7,0.5866283718766127,0.6567603,0.4814305017444873,69.19149633862564,1.4222169977268189,5.4559,4.0337000000000005,17.526026148831015,-1.0813122014484131,0.3147234548925304
Ba3Ta2Se9,Ba(PO3)2,0.5862882755566161,0.650445,0.4900531526328427,71.87337241682738,1.5010593186159011,5.4349,3.9338,16.939482204402772,-1.404547482029016,0.281305607809243
Ba(HoTe2)2,Ba3Si2(B3O8)2,0.5862830136570446,0.6344425,0.5140437569104415,79.033488694532,1.0404169977268192,5.4031,4.3627,17.227122381477397,-1.3810431087169304,0.193985376028606
Ba4Li(BiO4)3,Ba2P2O7,0.5862263473675364,0.63653183,0.510768078964381,78.07656918558929,0.8215169977268192,5.1483,4.3268,15.807777426493834,-1.0269848833593065,0.089581214754553
Ba(LuSe2)2,AlPO4,0.5862084996140599,0.64243615,0.5018669544251262,75.43147577449275,1.6355265760422464,5.6178,3.9822,14.622592073215737,-0.9097176854662664,0.0631309326502938
Ba2YCoO5,Ba(PO3)2,0.5860978736987648,0.63805556,0.5081612801827333,77.33512928798618,1.0272169977268188,5.4349,4.4077,17.40684437120676,-0.1722971624206324,0.1142772874741929
Ba2MnTe3,Ba2YC2(O2F)3,0.5860283840084719,0.63399774,0.5140743077756583,79.10872736790108,1.0806169977268187,5.263999999999999,4.1834,16.447548766982095,-1.7347148749876848,-0.2353109910599034
Ba(ErSe2)2,AlPO4,0.586026985327007,0.63940895,0.5059539995580952,76.69647913922618,1.6213687348322552,5.6178,3.9964,14.92758383152508,-0.8902690412996024,0.0717645881293163
Ag2P2PdO7,B5H4NO8,0.5860033367955487,0.63870823,0.5069459316342575,76.99789235344333,1.4222169977268189,5.7298,4.3076,19.100007640003057,-0.38572749524471,-0.0658371250812517
Ba3In2O6,Ba4Bi3F17,0.5859669286194584,0.6489917,0.4914297506668024,72.36776760427863,1.107916997726819,4.9991,3.8912,14.995201535508638,-1.001261040359844,-0.2688630756578947
