Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,0.8,0.4,0.4,0.5432091308360539,0.5433195129926535,5.43209130836054e-15,5.433195129926534e-15
Candidate_0,4.0,0.8,0.45,0.45,0.6809813273271124,0.6812135736958201,6.809813273271123e-15,6.8121357369582015e-15
Candidate_0,4.0,0.8,0.5,0.5,0.851072226990662,0.8515387504694835,8.51072226990662e-15,8.515387504694835e-15
Candidate_0,4.0,0.8,0.55,0.55,1.0621330653782317,1.0630343573135173,1.0621330653782317e-14,1.0630343573135172e-14
Candidate_0,4.0,0.8,0.6,0.6,1.3250929096832507,1.3267770013509923,1.3250929096832506e-14,1.3267770013509924e-14
Candidate_0,4.0,0.8,0.65,0.65,1.653813606759238,1.6568705547949611,1.653813606759238e-14,1.6568705547949612e-14
Candidate_0,4.0,0.8,0.7,0.7,2.0659361270063235,2.0713457232724064,2.0659361270063235e-14,2.0713457232724065e-14
Candidate_0,4.0,0.8,0.75,0.75,2.5839777512631907,2.593337084643394,2.5839777512631906e-14,2.5933370846433942e-14
Candidate_0,4.0,0.8,0.8,0.8,3.2367582964196293,3.252627728083944,3.236758296419629e-14,3.252627728083944e-14
Candidate_0,4.0,0.8,0.85,0.85,4.061258115266875,4.087680992196185,4.061258115266875e-14,4.087680992196185e-14
Candidate_0,4.0,0.8,0.9,0.9,5.105042214110935,5.148317014920998,5.105042214110935e-14,5.148317014920998e-14
Candidate_0,4.0,0.8,0.95,0.95,6.429424260231478,6.499240217582268,6.429424260231478e-14,6.499240217582269e-14
Candidate_0,4.0,0.8,1.0,1.0,8.11359024620748,8.224681979823208,8.11359024620748e-14,8.224681979823208e-14
Candidate_0,4.0,0.8,1.05,1.05,10.259947204134344,10.434484708117829,1.0259947204134344e-13,1.0434484708117829e-13
Candidate_0,4.0,0.8,1.1,1.1,13.000986415845817,13.27199938157962,1.3000986415845817e-13,1.327199938157962e-13
Candidate_0,4.0,0.8,1.15,1.15,16.507898867813648,16.924146015513355,1.6507898867813648e-13,1.6924146015513356e-13
Candidate_0,4.0,0.8,1.2,1.2,21.000930151428793,21.63377443121774,2.1000930151428793e-13,2.1633774431217742e-13
Candidate_0,4.0,0.8,1.25,1.25,26.76077055615099,27.713822052557674,2.676077055615099e-13,2.7713822052557676e-13
Candidate_0,4.0,0.8,1.3,1.3,34.138797034007354,35.56135310232108,3.4138797034007354e-13,3.556135310232108e-13
Candidate_0,4.0,0.8,1.35,1.35,43.5617576992,45.66742487119682,4.3561757699200003e-13,4.566742487119683e-13
Candidate_0,4.0,0.8,1.4,1.4,55.52652400794558,58.618875049224144,5.552652400794558e-13,5.861887504922415e-13
Candidate_0,4.0,0.8,1.45,1.45,70.5985252139097,75.1062614411937,7.059852521390969e-13,7.510626144119369e-13
Candidate_0,4.0,0.8,1.5,1.5,89.52024200330568,96.04513914795963,8.952024200330568e-13,9.604513914795962e-13
Candidate_0,4.0,0.8,1.55,1.55,113.85638051462031,123.23835164273545,1.1385638051462031e-12,1.2323835164273544e-12
Candidate_0,4.0,0.8,1.6,1.6,148.3917457417705,161.79672774627247,1.4839174574177051e-12,1.6179672774627248e-12
Candidate_0,4.0,0.8,1.65,1.65,207.5891965958087,226.6273473138352,2.075891965958087e-12,2.266273473138352e-12
Candidate_0,4.0,0.8,1.7,1.7,327.86848747200304,354.75248213207936,3.2786848747200304e-12,3.5475248213207937e-12
Candidate_0,4.0,0.8,1.75,1.75,582.4999803658372,620.2561622047795,5.8249998036583725e-12,6.202561622047795e-12
